Id,to_n,program_n,electron_n,the_n,be_n,or_n,can_n,process_n,accept_n,data_n,a_n,inform_n,oper_n,instruct_n,system_n,store_n,that_n,and_n,comput_n,which_n,set_n,result_n,c_n,devic_n,calcul_n,is_n,it_n,in_n,perform_n,i_n,for_n,machin_n,by_n,on_n,of_n,with_n,us_n,an_n,as_n,other_n
67,0.0,0.0,0.135596822441,0.0,0.0,0.144924574609,0.0,0.0,0.0,0.104222671954,0.00803254345372,0.137015083726,0.0,0.0,0.0,0.129633297185,0.0789576859232,0.0333280508625,0.0116619104389,0.0,0.0,0.0,0.0,0.0,0.18381932241,0.0443271702429,0.0,0.0,0.0,0.0,0.263901836941,0.159653531887,0.0,0.0,0.0,0.0,0.217620727277,0.13326266417,0.0,0.2346830149
68,0.0,0.0,0.119890636023,0.101670271155,0.0,0.216896430556,0.0,0.123197973897,0.0,0.0,0.0120216326879,0.15761278448,0.0,0.0,0.0,0.149121281942,0.0908275234817,0.0383383110449,0.0134150644341,0.0,0.0,0.0,0.250336005745,0.119890636023,0.211453180617,0.0509909459609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101670271155,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0958914345211,0.0,0.0,0.0,0.129636148763,0.0985367234582,0.0,0.0958914345211,0.00739044682111,0.0,0.207771800813,0.0,0.0,0.119270813113,0.0945146942576,0.0398946663727,0.0,0.0,0.0,0.0,0.0,0.0958914345211,0.169125375392,0.0,0.0,0.0,0.186626244344,0.129636148763,0.0,0.0,0.0,0.207771800813,0.0813183453901,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0625550501922,0.0,0.164328263258,0.0,0.0,0.0,0.0,0.00739659516635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825393715861,0.0,0.0,0.0,0.0,0.0,0.0,0.031373391137,0.0,0.0,0.0,0.0,0.186781504588,0.0,0.0,0.159830790531,0.0,0.0,0.154025175958,0.0,0.0,0.0
71,0.0831040700959,0.187496827802,0.0,0.0,0.0,0.0,0.148298374403,0.0,0.0,0.0,0.0135443990639,0.0,0.0,0.210117615269,0.0,0.0,0.0831040700959,0.0350782402327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129157343439,0.0,0.0,0.0930248124887,0.0,0.0,0.0,0.213492678709,0.0
72,0.0951401810265,0.0,0.0,0.0,0.0,0.0,0.0,0.129047639849,0.0,0.125583263502,0.014296798387,0.0,0.0,0.184891451887,0.0,0.156201834147,0.0951401810265,0.0,0.0,0.0,0.262222418833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147863432219,0.0,0.0,0.106497762263,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.11701892011,0.0,0.0,0.0,0.108987918973,0.0,0.106062060205,0.00817430690859,0.0,0.0,0.0,0.0,0.131921148372,0.0,0.0339162455808,0.0118677272793,0.0,0.0,0.0,0.0,0.0,0.187063483163,0.0,0.16074928638,0.187063483163,0.206420563653,0.0,0.0,0.0,0.229808901668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.112266229807,0.0,0.0,0.0,0.0,0.0099687100046,0.0,0.0,0.0,0.236524466828,0.0,0.0611647937336,0.0258176684475,0.0090339317597,0.0,0.0,0.0,0.0,0.0807363863049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684664837884,0.0,0.0,0.0,0.157131120555,0.0
75,0.0852429345445,0.0,0.0,0.0954190088745,0.0,0.0,0.116919023337,0.0,0.0,0.0,0.00666545429338,0.0,0.187389676875,0.0,0.194741418862,0.0,0.0,0.0276558229645,0.012590230534,0.0,0.0,0.0,0.0,0.086484618508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174246187467,0.0,0.0,0.0,0.194741418862
76,0.109075369339,0.0,0.143977452023,0.122096496215,0.0,0.0,0.0,0.0,0.0,0.143977452023,0.0144368576311,0.189278227796,0.0,0.0,0.0,0.179080726642,0.109075369339,0.04604072947,0.0161102389646,0.0,0.0,0.30063015305,0.0,0.0,0.0,0.0612353618201,0.0,0.0,0.0,0.0,0.0,0.169520998457,0.0,0.0,0.0,0.290080739547,0.0,0.184094482298,0.0,0.0
