Id,an_is_electron,of_set_instruct,electron_an_machin,is_comput_an,comput_a_is,machin_electron_that,is_comput_a
83,0.886056647693,0.0,0.823908740944,0.823908740944,0.568636235841,0.886056647693,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.886056647693,0.0,0.0,0.823908740944,0.568636235841,0.0,0.0
90,0.0,0.0,0.0,0.0,0.568636235841,0.0,0.552841968658
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.920818753952,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.552841968658
95,0.0,0.0,0.0,0.0,0.0,0.0,0.552841968658
96,0.0,0.0,0.0,0.0,0.568636235841,0.0,0.552841968658
97,0.0,0.0,0.0,0.0,0.568636235841,0.0,0.552841968658
98,0.0,0.0,0.823908740944,0.0,0.0,0.886056647693,0.0
99,0.0,0.0,0.0,0.0,0.568636235841,0.0,0.0
100,0.0,0.0,0.0,0.0,0.568636235841,0.0,0.0
